listing_id,room_type,latitude,longitude,host_type,host_id,host_name,,
30768008,Entire home/apt,40.82323,-73.95388,primary,10415675,Yao & Rain,,
9.64E+17,Private room,40.75989216,-73.99295092,co,393860778,Sam,,
36922223,Private room,40.73994,-73.8934,co,366180586,Al,,
7.37E+17,Private room,40.74664,-73.89794,primary,200239515,Shogo,,
31556307,Private room,40.74367,-73.90004,co,227070045,Sachiko,,
33917958,Private room,40.74468,-73.90807,co,498467246,Aiko,,
1.02E+18,Private room,40.76241842,-73.9905918,co,91445933,Adam,,
9.85E+17,Private room,40.63426751,-74.01745742,primary,77063818,Angela,,
9.65E+17,Private room,40.7437,-73.98822,primary,501999278,RoomPicks,,
48621914,Private room,40.70478,-74.00583,primary,371972456,Justin,,
45696799,Private room,40.74621,-73.89918,primary,204704622,Momoyo,,
7782176,Private room,40.69386,-73.9457,co,135710202,Chris,,
49053064,Private room,40.74665,-73.89983,primary,390535864,Fukuda,,
5.75E+17,Private room,40.80828,-73.92,co,419052826,Casimar,,
1.03E+18,Private room,40.71454645,-74.01025948,primary,496932087,Reservations,,
8.75E+17,Private room,40.70514954,-73.81995312,co,483205753,Sabitrie,,
46901954,Private room,40.69324,-73.91139,primary,3223938,Eugene,,
8.73E+17,Private room,40.87695517,-73.85623522,co,507263242,Gloria,,
8.70E+17,Private room,40.7294918,-73.8733657,co,366180586,Al,,
9.52E+17,Private room,40.747923,-73.8736643,co,227070045,Sachiko,,
26877222,Private room,40.81606,-73.94209,co,366180586,Al,,
1.03E+18,Private room,40.7554527,-73.97039687,primary,501999514,RoomPicks,,
6.82E+17,Private room,40.70384,-73.9038,primary,3223938,Eugene,,
38295943,Private room,40.74993,-73.8783,co,366180586,Al,,
7.67E+17,Private room,40.74907,-73.9769,primary,174792040,RoomPicks By Victoria,,
7.24E+17,Private room,40.69417,-73.93469,primary,473963067,Perla Joe,,
48622138,Private room,40.70634,-74.00368,primary,371972456,Justin,,
46562291,Private room,40.70632,-74.00573,primary,371972456,Justin,,
25838923,Private room,40.71488,-73.99535,co,246905270,Thomas,,
46528945,Private room,40.70649,-74.00407,primary,371972456,Justin,,
1.01E+18,Private room,40.86596,-73.88915,co,350358047,Ishfar,,
6.92E+17,Entire home/apt,40.732961,-74.0056651,primary,107434423,Blueground,,
47882500,Private room,40.74495,-73.87257,primary,200239515,Shogo,,
1.03E+18,Private room,40.74548111,-73.98600054,primary,496932087,Reservations,,
53477385,Private room,40.74393,-73.88848,primary,204704622,Momoyo,,
7.26E+17,Private room,40.74705,-73.98551,primary,25138314,RoomPicks By Antony,,
9.84E+17,Private room,40.74152,-73.90118,primary,501499086,CrossOver,,
8.14E+17,Private room,40.7295,-73.87337,co,227070045,Sachiko,,
47584587,Entire home/apt,40.74817,-73.98754,primary,348619646,Nomad,,
30514043,Private room,40.69271,-73.91299,co,227070045,Sachiko,,
7.10E+17,Entire home/apt,40.75072,-73.89523,primary,19303369,Hiroki,,
6.94E+17,Private room,40.64367,-73.98127,co,14898658,Chadanut,,
42523317,Private room,40.74140332,-73.8892081,co,366180586,Al,,
43391960,Private room,40.74068,-73.87714,primary,19303369,Hiroki,,
46379970,Private room,40.70521,-74.00562,primary,371972456,Justin,,
9.65E+17,Private room,40.74371,-73.9898,primary,501999278,RoomPicks,,
1.03E+18,Private room,40.7147018,-74.01025083,primary,496932087,Reservations,,
48415866,Private room,40.74598,-73.89941,primary,390535864,Fukuda,,
51519947,Private room,40.638226,-73.931931,co,406807982,Tiffany,,
7.56E+17,Private room,40.70309,-73.90497,primary,3223938,Eugene,,
1.03E+18,Private room,40.75259172,-73.98422253,primary,496932087,Reservations,,
9.27E+17,Private room,40.75864769,-73.99179137,co,424332243,Роман,,
48382776,Private room,40.73867,-73.87774,primary,390535864,Fukuda,,
48983715,Private room,40.67658,-73.94356,co,487295214,Nana,,
27528935,Private room,40.63851,-74.00231,primary,193502084,Linda,,
7.27E+17,Private room,40.86752,-73.91949,primary,19303369,Hiroki,,
1.03E+18,Private room,40.71619879,-74.009538,primary,496932087,Reservations,,
7.27E+17,Private room,40.86637,-73.91786,primary,200239515,Shogo,,
8.73E+17,Private room,40.87695517,-73.85623522,co,507263242,Gloria,,
53561733,Entire home/apt,40.75242,-73.97193,primary,29582882,Jerry & Lynn,,
48158231,Private room,40.68556,-73.91398,primary,200239515,Shogo,,
30950513,Private room,40.76034,-73.97517,primary,26556695,Justin And Alyssa,,
53633241,Private room,40.69437,-73.94314,co,4888892,Darina,,
6.89E+17,Private room,40.69474,-73.93475,primary,473963067,Perla Joe,,
46678638,Private room,40.70666,-74.00378,primary,371972456,Justin,,
6.55E+17,Private room,40.75144,-73.97493,primary,22129776,Ali,,
1.01E+18,Private room,40.866238,-73.88987398,co,438634584,Latif,,
48998267,Private room,40.67689,-73.94575,co,223626166,Ayano,,
1.04E+18,Private room,40.87574872,-73.8831269,co,419052826,Casimar,,
31773364,Private room,40.74527,-73.90885,co,340102104,Kayo,,
48562902,Private room,40.74695,-73.99062,primary,383332265,Tyler,,
7.28E+17,Private room,40.76226,-73.97907,primary,475766934,Arianna,,
49075743,Private room,40.67756,-73.90811,co,339848823,Nyc,,
7.98E+17,Private room,40.68873108,-73.91386785,co,339848823,Nyc,,
46173462,Private room,40.7617,-73.91725,primary,19303369,Hiroki,,
46528305,Private room,40.70662,-74.0057,primary,371972456,Justin,,
27488806,Private room,40.82203,-73.95442,primary,206778021,Vanessa,,
1.03E+18,Entire home/apt,40.6926,-73.76345,primary,130289593,Ted,,
7.67E+17,Private room,40.75113,-73.97641,primary,174792040,RoomPicks By Victoria,,
1.01E+18,Private room,40.86596,-73.88915,co,477231369,Christyn,,
42523317,Private room,40.74140332,-73.8892081,co,498467246,Aiko,,
6.69E+17,Private room,40.69049,-73.93483,co,395520753,Manuel,,
24808312,Private room,40.6946,-73.92497,primary,15787004,Martial Loft,,
6.65E+17,Private room,40.7386,-73.876,primary,200239515,Shogo,,
47200701,Private room,40.70485,-74.00576,primary,371972456,Justin,,
1.03E+18,Private room,40.76516,-73.9801,primary,496932087,Reservations,,
25871304,Private room,40.81091,-73.9416,co,366180586,Al,,
1.03E+18,Entire home/apt,40.7677879,-73.991741,primary,107434423,Blueground,,
23840461,Private room,40.82372,-73.94546,co,163576102,Shonelle,,
1.06E+18,Private room,40.74540841,-73.98509052,primary,496932087,Reservations,,
9.63E+17,Private room,40.64286082,-73.98063272,co,14898658,Chadanut,,
45754166,Entire home/apt,40.68631,-73.73544,primary,47900722,Sagee,,
7.23E+17,Private room,40.68928,-73.95014,primary,3223938,Eugene,,
45398227,Entire home/apt,40.74823,-73.9869,primary,348619646,Nomad,,
1.03E+18,Private room,40.75595,-73.98004,primary,484277630,Bugra Han,,
29923697,Hotel room,40.76208,-73.9765,primary,220229838,Chamber Hotel,,
50243748,Entire home/apt,40.76054,-73.99775,primary,307197943,New York,,
46829934,Private room,40.70449,-74.00513,primary,371972456,Justin,,
303264,Entire home/apt,40.8073,-73.94575,primary,1556814,Tammy,,
9.90E+17,Private room,40.76388213,-73.82618819,co,502685591,Usquire,,
7.40E+17,Entire home/apt,40.74392,-73.88847,primary,462961904,Meraj,,
1.01E+18,Private room,40.86596,-73.88915,co,438634584,Latif,,
